timestamp,open,high,low,close,volume,currency
2024-04-07 22:14:00+00:00,1.08298,1.08298,1.08286,1.08286,16,EUR_USD
2024-04-07 22:15:00+00:00,1.08283,1.08288,1.08283,1.08288,15,EUR_USD
2024-04-07 22:16:00+00:00,1.08288,1.08288,1.08288,1.08288,5,EUR_USD
2024-04-07 22:17:00+00:00,1.08287,1.08294,1.08287,1.08292,8,EUR_USD
2024-04-07 22:18:00+00:00,1.08291,1.08292,1.08286,1.08286,12,EUR_USD
2024-04-07 22:19:00+00:00,1.08288,1.08294,1.08288,1.08292,9,EUR_USD
2024-04-07 22:20:00+00:00,1.08292,1.08292,1.08285,1.08285,8,EUR_USD
2024-04-07 22:21:00+00:00,1.08286,1.08292,1.08286,1.0829,9,EUR_USD
2024-04-07 22:22:00+00:00,1.08292,1.08292,1.0829,1.08292,3,EUR_USD
2024-04-07 22:23:00+00:00,1.0829,1.08292,1.0829,1.08292,16,EUR_USD
2024-04-07 22:24:00+00:00,1.08291,1.08294,1.08291,1.08294,7,EUR_USD
2024-04-07 22:25:00+00:00,1.08291,1.08294,1.08291,1.08294,8,EUR_USD
2024-04-07 22:26:00+00:00,1.08294,1.08298,1.08291,1.08292,12,EUR_USD
2024-04-07 22:27:00+00:00,1.08292,1.08294,1.08289,1.08294,21,EUR_USD
2024-04-07 22:28:00+00:00,1.08294,1.08296,1.08291,1.08292,11,EUR_USD
2024-04-07 22:29:00+00:00,1.08295,1.08298,1.08294,1.08298,9,EUR_USD
2024-04-07 22:30:00+00:00,1.08298,1.08302,1.08296,1.083,21,EUR_USD
2024-04-07 22:31:00+00:00,1.08303,1.08309,1.08299,1.08302,36,EUR_USD
2024-04-07 22:32:00+00:00,1.08303,1.0831,1.08302,1.08302,28,EUR_USD
2024-04-07 22:33:00+00:00,1.083,1.08308,1.08298,1.08307,24,EUR_USD
2024-04-07 22:34:00+00:00,1.08308,1.08312,1.08308,1.08312,15,EUR_USD
2024-04-07 22:35:00+00:00,1.08311,1.08311,1.08308,1.08308,4,EUR_USD
2024-04-07 22:36:00+00:00,1.08309,1.0831,1.08302,1.08308,22,EUR_USD
2024-04-07 22:37:00+00:00,1.08307,1.0831,1.08302,1.08308,25,EUR_USD
2024-04-07 22:38:00+00:00,1.08308,1.08308,1.08305,1.08306,13,EUR_USD
2024-04-07 22:39:00+00:00,1.08307,1.0831,1.08307,1.08308,8,EUR_USD
2024-04-07 22:40:00+00:00,1.08307,1.08308,1.08305,1.08305,5,EUR_USD
2024-04-07 22:41:00+00:00,1.08306,1.08308,1.08305,1.08308,4,EUR_USD
2024-04-07 22:42:00+00:00,1.08309,1.0831,1.08306,1.08308,7,EUR_USD
2024-04-07 22:43:00+00:00,1.08307,1.08308,1.08302,1.08304,9,EUR_USD
2024-04-07 22:44:00+00:00,1.08303,1.08303,1.08293,1.08293,19,EUR_USD
2024-04-07 22:45:00+00:00,1.08296,1.08298,1.08287,1.08287,21,EUR_USD
2024-04-07 22:46:00+00:00,1.08288,1.08288,1.0828,1.08282,20,EUR_USD
2024-04-07 22:47:00+00:00,1.08283,1.08286,1.08282,1.08286,17,EUR_USD
2024-04-07 22:48:00+00:00,1.08284,1.08284,1.08284,1.08284,4,EUR_USD
2024-04-07 22:49:00+00:00,1.08284,1.08288,1.08284,1.08288,9,EUR_USD
2024-04-07 22:50:00+00:00,1.08288,1.08288,1.08285,1.08286,6,EUR_USD
2024-04-07 22:51:00+00:00,1.08287,1.08287,1.08287,1.08287,1,EUR_USD
2024-04-07 22:52:00+00:00,1.08289,1.08289,1.08287,1.08289,3,EUR_USD
2024-04-07 22:53:00+00:00,1.08287,1.08288,1.08282,1.08282,15,EUR_USD
2024-04-07 22:54:00+00:00,1.0828,1.0828,1.08275,1.08275,6,EUR_USD
2024-04-07 22:55:00+00:00,1.08278,1.0828,1.08278,1.08278,5,EUR_USD
2024-04-07 22:56:00+00:00,1.0828,1.0828,1.08277,1.08277,15,EUR_USD
2024-04-07 22:57:00+00:00,1.08278,1.08278,1.08274,1.08274,12,EUR_USD
2024-04-07 22:58:00+00:00,1.08275,1.08276,1.08274,1.08275,13,EUR_USD
2024-04-07 22:59:00+00:00,1.08274,1.08285,1.08274,1.08282,22,EUR_USD
2024-04-07 23:00:00+00:00,1.08282,1.08289,1.08279,1.08288,26,EUR_USD
2024-04-07 23:01:00+00:00,1.08287,1.08288,1.08285,1.08287,17,EUR_USD
