,META_Open,META_Close,META_Volume,AAPL_Open,AAPL_Close,AAPL_Volume,AMZN_Open,AMZN_Close,AMZN_Volume,NFLX_Open,NFLX_Close,NFLX_Volume,GOOGL_Open,GOOGL_Close,GOOGL_Volume,META_SO_K,META_SO_D,META_SO_B/S_Decision,AAPL_SO_K,AAPL_SO_D,AAPL_SO_B/S_Decision,AMZN_SO_K,AMZN_SO_D,AMZN_SO_B/S_Decision,NFLX_SO_K,NFLX_SO_D,NFLX_SO_B/S_Decision,GOOGL_SO_K,GOOGL_SO_D,GOOGL_SO_B/S_Decision,META_MACD,META_signal_MACD,META_signal_MACD_diff,META_MACD_B/S_Decision,AAPL_MACD,AAPL_signal_MACD,AAPL_signal_MACD_diff,AAPL_MACD_B/S_Decision,AMZN_MACD,AMZN_signal_MACD,AMZN_signal_MACD_diff,AMZN_MACD_B/S_Decision,NFLX_MACD,NFLX_signal_MACD,NFLX_signal_MACD_diff,NFLX_MACD_B/S_Decision,GOOGL_MACD,GOOGL_signal_MACD,GOOGL_signal_MACD_diff,GOOGL_MACD_B/S_Decision,META_Final_BorS_Decision,AAPL_Final_BorS_Decision,AMZN_Final_BorS_Decision,NFLX_Final_BorS_Decision,GOOGL_Final_BorS_Decision,Cash Balance,META_owned_shares,AAPL_owned_shares,AMZN_owned_shares,NFLX_owned_shares,GOOGL_owned_shares,Portfolio Value,NS Portfolio Value,SP_500,SP_500_Value,Strategy_Portfolio_DReturns,NS_Portfolio_DReturns,SP_500_DReturns
2015-01-16,73.96152777579995,75.1003189086914,21791500,23.921216333634664,23.68877601623535,314053200,14.314000129699707,14.536999702453613,69564000,46.85714340209961,48.191429138183594,19696600,25.157499313354492,25.523000717163086,49658000,15.270243491615268,18.971175102249358,Buy,0.0,28.65657291799895,NA,15.105603528555866,8.052620161150584,Buy,61.47460876875896,27.593373725944645,NA,30.13946041671672,15.276638535485443,Buy,-0.42370073642283046,0.07444158191966661,-0.49814231834249706,NA,-0.28720820605757424,-0.23438344904871455,-0.05282475700885969,NA,-0.28830106297288793,-0.24590677590798937,-0.04239428706489856,NA,-0.45690246214527974,-0.41878280366761245,-0.038119658477667295,NA,-0.361463642246882,-0.31596869782351805,-0.04549494442336394,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,955469.8848352432,955469.8848352432,2019.4200439453125,981438.1413574219,0.015006922364668718,0.015006922364668718,0.013424199395820402
2015-01-20,75.63974942136296,76.15919494628906,22821600,24.102257510343712,24.298938751220703,199599600,14.629500389099121,14.472000122070312,61502000,48.57143020629883,49.82857131958008,40551000,25.638500213623047,25.496999740600586,46796000,29.594572836937406,18.884171741070013,Buy,34.12535776042772,27.729649903596737,NA,9.924291434266431,10.03747844800387,Buy,99.53502767840197,46.02961727634367,NA,28.96982561870867,21.07060365922718,Buy,-0.419411768345185,-0.024329088133303717,-0.3950826802118813,NA,-0.27244024349027995,-0.24199480793702766,-0.030445435553252298,NA,-0.29349883953082134,-0.25542518863255576,-0.03807365089826559,NA,-0.21094014350416046,-0.37721427163492205,0.1662741281307616,Buy,-0.3355282169650806,-0.3198806016518306,-0.01564761531325004,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,968704.4129638672,968704.4129638672,2022.550048828125,982959.3237304688,0.013851329423015812,0.013851329423015812,0.0015499523698385698
2015-01-21,76.07928142476584,76.65866088867188,25096700,24.35034220192486,24.48444366455078,194303600,14.482000350952148,14.862500190734863,201302000,59.23428726196289,58.468570709228516,66902500,25.54199981689453,26.019500732421875,46356000,36.35127938371603,20.947350959284925,Buy,44.50033015833733,26.371249226552504,NA,41.052226671096115,15.019613288383379,Buy,100.0,61.50654310887796,NA,52.474148256701895,29.433183582555692,NA,-0.371428407429363,-0.09374895199251557,-0.27767945543684747,NA,-0.24296705758370152,-0.24218925786636245,-0.0007777997173390727,NA,-0.26307545284335987,-0.2569552414747166,-0.006120211368643269,NA,0.6733999736197234,-0.16709142258399298,0.8404913962037164,NA,-0.2697037651378693,-0.3098452343490383,0.04014146921116901,Buy,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1015544.7680025101,1015544.7680025101,2032.1199951171875,987610.3176269531,0.04835360963756652,0.04835360963756652,0.004731623968765364
2015-01-22,77.08820862741067,77.56770324707031,19519500,24.643120315346145,25.121410369873047,215185600,15.0,15.515999794006348,107252000,58.57143020629883,61.20571517944336,33319300,26.149999618530273,26.864999771118164,56068000,48.64867933252417,25.97295500895857,NA,80.12478811728676,33.22303128846606,NA,93.14464600791067,31.84535352836582,NA,100.0,76.70654770999029,Sell,90.50830035727401,43.54475191592907,NA,-0.2570856042478198,-0.12641628244357642,-0.13066932180424337,NA,-0.16629451597781397,-0.22701030948865275,0.06071579351083878,Buy,-0.18411043278060468,-0.24238627973589422,0.058275846955289534,Buy,1.5769326729946584,0.18171339653173735,1.395219276462921,NA,-0.14761113722752484,-0.27739841492473566,0.12978727769721082,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1048828.371495247,1048828.371495247,2063.14990234375,1002690.8525390625,0.032774137134498504,0.032774137134498504,0.015269721916580492
2015-01-23,77.5677032875801,77.74751281738281,16746500,25.099066967580402,25.251047134399414,185859200,15.404000282287598,15.619500160217285,89928000,60.98857116699219,62.494285583496094,26784100,26.901500701904297,27.09749984741211,45966000,56.16645426184691,37.20624586132796,NA,87.3751505447346,49.225125316157275,NA,100.0,51.84535352836582,NA,100.0,92.20192728943218,Sell,100.0,60.41834692988025,NA,-0.15022725307782991,-0.1311784765704271,-0.019048776507402804,NA,-0.0939869478516897,-0.20040563716126014,0.10641868930957044,NA,-0.11188868775984595,-0.21628676134068459,0.10439807358083864,NA,2.369649860885275,0.6193006894024449,1.75034917148283,NA,-0.03172532708369502,-0.22826379735652755,0.19653847027283253,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1058641.7907800674,1058641.7907800674,2051.820068359375,997184.5532226562,0.009356553990649719,0.009356553990649719,-0.005491522439307173
2015-01-26,77.89735656579386,77.41786193847656,19260800,25.420908239779724,25.277868270874023,222460000,15.590999603271484,15.482999801635742,63394000,62.57143020629883,63.79428482055664,21268800,27.075000762939453,26.836000442504883,30932000,51.263023744324364,44.404801911869775,NA,88.8752108159658,67.00016747935044,NA,89.26884237311899,66.67800129727844,NA,100.0,99.9070055356804,Sell,88.34932067942255,72.06031898242142,NA,-0.09109126739497242,-0.12316103473533618,0.032069767340363764,Buy,-0.03412506509562263,-0.16714952274813266,0.13302445765251003,NA,-0.06491853222860655,-0.186013115518269,0.12109458328966244,NA,3.0674236667658263,1.1089252848751212,1.9584983818907051,NA,0.038569589612848176,-0.17489711996265242,0.2134667095755006,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1059596.3626270294,1059596.3626270294,2057.090087890625,999745.7827148438,0.0009016948464302121,0.0009016948464302121,0.002568460857030219
2015-01-27,76.62869879718112,75.6996841430664,20110000,25.125881355205827,24.39280128479004,382274800,15.3149995803833,15.337499618530273,58406000,63.08714294433594,64.88143157958984,24612700,26.56999969482422,26.059499740600586,39148000,25.70578735988942,43.62704481646018,NA,39.374928661263944,68.05008165951769,NA,77.83015154570926,80.259173319567,Sell,100.0,100.0,Sell,53.7535988524462,77.01707362916893,Sell,-0.18078419371724408,-0.13468566653171776,-0.04609852718552632,Sell,-0.05743947418978124,-0.14520751303646237,0.08776803884668113,NA,-0.03898559270424151,-0.1566076109554635,0.11762201825122198,NA,3.6658801089396675,1.6203162496880306,2.045563859251637,NA,0.03126133912788376,-0.13366542814454518,0.16492676727242894,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1044837.9314861298,1044837.9314861298,2029.550048828125,986361.3237304688,-0.013928352022943402,-0.013928352022943402,-0.013387862410411011
2015-01-28,76.81849910390027,76.15919494628906,53306400,26.290313476560826,25.771793365478516,585908400,15.490500450134277,15.195500373840332,61276000,64.7414321899414,63.20857238769531,24532900,26.25,25.62150001525879,35822000,36.683429942853046,43.693474928287586,NA,100.0,79.15001562785022,Sell,66.66669165812583,85.38206631697294,Sell,91.34770798016245,98.2695415960325,Sell,34.23923573460779,73.37009112475012,NA,-0.21234007825719914,-0.15021654887681404,-0.062123529380385095,NA,0.03495389804708893,-0.10917523081975211,0.14412912886684104,NA,-0.029551057408802706,-0.13119630024613135,0.10164524283732865,NA,3.9595323704467944,2.0881594738397835,1.871372896607011,NA,-0.009760901753733009,-0.10888452286638275,0.09912362111264975,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1045174.1810655594,1045174.1810655594,2002.1600341796875,973049.7766113281,0.0003218198433430075,0.0003218198433430075,-0.013495609366348305
2015-01-29,76.76854524040559,77.91732788085938,61293500,25.99753834136665,26.574169158935547,337745600,15.236499786376953,15.58899974822998,173132000,63.20428466796875,63.400001525878906,15127700,25.645000457763672,25.661500930786133,79018000,76.40222536060179,49.244184133903104,NA,100.0,83.12505800439287,Sell,97.60216945858753,86.27357100710832,Sell,92.337809724945,96.73710354102148,Sell,36.02141126003175,62.472713305301646,NA,-0.09439359896228439,-0.13905195889390812,0.04465835993162373,Buy,0.1709507185307011,-0.05315004094966147,0.22410075948036257,NA,0.00956770019458908,-0.10304350015798727,0.11261120035257635,NA,4.159749630565919,2.5024775051850106,1.6572721253809086,NA,-0.03859864249636402,-0.09482734679237902,0.056228704296014995,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1062215.134440422,1062215.134440422,2021.25,982327.5,0.016304414789015675,0.016304414789015675,0.009534685287099887
2015-01-30,77.91732514707012,75.82954406738281,42649500,26.462417642593717,26.185277938842773,334982000,17.31599998474121,17.726499557495117,477122000,63.13285827636719,63.11428451538086,13215300,25.950000762939453,26.877500534057617,121108000,42.27267598788415,46.46542847911056,NA,86.52207166026453,82.95444222749886,Sell,100.0,86.27357100710832,Sell,90.86003620889407,94.90911078280031,Sell,90.19828954658709,60.51237121461908,NA,-0.16745653507452118,-0.14473287413003075,-0.022723660944490437,Sell,0.24453011624088106,0.006385990488447037,0.23814412575243402,NA,0.21062007113355818,-0.04031078589967819,0.25093085703323637,NA,4.246418210954957,2.851265646339,1.395152564615957,NA,0.03625037390638042,-0.06861180265262713,0.10486217655900755,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,1089094.2687854767,1089094.2687854767,1994.989990234375,969565.1352539062,0.02530479323213064,0.02530479323213064,-0.012991965252009852
