Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,40.29172421833392,40.94799603311642,40.18810304632777,40.378074645996094,27913900,0.0,0.0
2015-01-05 00:00:00-05:00,40.041290197431316,40.35215690526787,39.937669059504664,40.006752014160156,39673900,0.0,0.0
2015-01-06 00:00:00-05:00,40.04993823428573,40.36943875234251,39.32458348109097,39.41957092285156,36447900,0.0,0.0
2015-01-07 00:00:00-05:00,39.70452321189688,40.119011101330535,39.281401599249925,39.92040252685547,29114100,0.0,0.0
2015-01-08 00:00:00-05:00,40.3694441908349,41.23296171363351,40.34353971924948,41.09479904174805,29645200,0.0,0.0
2015-01-09 00:00:00-05:00,41.1120725600793,41.293410461522484,40.498975868119096,40.749393463134766,23944200,0.0,0.0
2015-01-12 00:00:00-05:00,40.94798637717917,41.051610818807326,40.03266020119536,40.23990249633789,23651900,0.0,0.0
2015-01-13 00:00:00-05:00,40.55940750333923,41.371112556829075,39.773606914028285,40.03266143798828,35270600,0.0,0.0
2015-01-14 00:00:00-05:00,39.68724822998047,39.92903527685267,39.39365226125153,39.68724822998047,29719600,0.0,0.0
2015-01-15 00:00:00-05:00,39.911774236625334,40.04993688524392,39.21232397508647,39.272769927978516,32750800,0.0,0.0
2015-01-16 00:00:00-05:00,39.12596769720858,39.96357718790556,39.00507251546699,39.929039001464844,35695300,0.0,0.0
2015-01-20 00:00:00-05:00,39.98085416560061,40.28308722602088,39.35048687143132,40.058570861816406,36161900,0.0,0.0
2015-01-21 00:00:00-05:00,39.66999215004889,39.842696306187,39.272774896771686,39.6527214050293,39081100,0.0,0.0
2015-01-22 00:00:00-05:00,40.04992907927704,40.70620070878978,39.79087457536561,40.697566986083984,35898000,0.0,0.0
2015-01-23 00:00:00-05:00,40.89618274764928,40.92208721438325,40.4126118395856,40.74074935913086,26211600,0.0,0.0
2015-01-26 00:00:00-05:00,40.58531464031526,40.69757281591172,39.92904291679321,40.59394836425781,42525500,0.0,0.0
2015-01-27 00:00:00-05:00,37.088059601160055,37.30393887323426,36.362705115228465,36.83763885498047,169164000,0.0,0.0
2015-01-28 00:00:00-05:00,36.90672590792989,36.94990110833539,35.54236717553092,35.56827163696289,84507100,0.0,0.0
2015-01-29 00:00:00-05:00,35.34377003995211,36.3713546355218,35.22287812212717,36.2763671875,63585300,0.0,0.0
2015-01-30 00:00:00-05:00,35.879143702735746,35.90505146208922,34.84292226813957,34.88610076904297,78004900,0.0,0.0
2015-02-02 00:00:00-05:00,35.05016279053241,35.723705143032966,34.73929607582241,35.64598846435547,50352500,0.0,0.0
